StudentID,CourseID,Status
1,1,Enrolled
1,2,Enrolled
2,2,Enrolled
2,4,Enrolled
3,1,Enrolled
3,3,Enrolled
4,1,Enrolled
4,2,Enrolled
4,3,Enrolled
5,4,Enrolled
6,1,Enrolled
6,4,Enrolled
7,2,Enrolled
7,3,Enrolled
8,1,Enrolled
8,4,Enrolled
9,3,Enrolled
9,4,Enrolled
10,1,Enrolled
10,2,Enrolled
10,4,Enrolled
11,1,Enrolled
11,3,Enrolled
12,2,Enrolled
12,3,Enrolled
13,1,Enrolled
14,2,Enrolled
14,4,Enrolled
15,1,Enrolled
16,1,Enrolled
16,4,Enrolled
17,2,Enrolled
17,1,Enrolled
18,1,Enrolled
18,2,Enrolled
19,1,Enrolled
20,1,Enrolled
20,2,Enrolled
20,1,Enrolled
20,4,Enrolled
